Nr;Dlugosc_kroku;x1_0;x2_0;x1_HJ;x2_HJ;f_HJ;calls_HJ;Min_global_HJ;x1_Rosen;x2_Rosen;f_Rosen;calls_Rosen;Min_global_Rosen
266;0,010000;-0,478252;-0,976301;-0,774502;-0,775051;1,239679;88;NIE;-0,774502;-0,774738;1,239676;49;NIE
267;0,010000;-0,877273;0,268718;-0,774773;-0,000032;0,619837;92;NIE;-0,774461;0,001218;0,619886;45;NIE
268;0,010000;-0,848538;-0,046015;-0,774788;0,000235;0,619839;53;NIE;-0,774788;-0,000390;0,619842;29;NIE
269;0,010000;0,534133;0,142560;0,774133;0,000060;0,619848;69;NIE;0,774133;0,000060;0,619848;41;NIE
270;0,010000;-0,251817;-0,044694;-0,000567;0,000306;0,000013;80;TAK;-0,000567;-0,000006;0,000010;41;TAK
271;0,010000;0,563796;-0,871117;0,775046;-0,774867;1,239679;82;NIE;0,774421;-0,774867;1,239678;37;NIE
272;0,010000;0,242324;0,980107;-0,000176;0,775107;0,619843;78;NIE;0,001074;0,774482;0,619876;53;NIE
273;0,010000;-0,986631;0,219312;-0,774131;0,000562;0,619858;68;NIE;-0,774756;0,000562;0,619847;45;NIE
274;0,010000;-0,343859;0,276285;-0,000109;0,000035;0,000000;90;TAK;-0,000109;-0,000590;0,000011;45;TAK
275;0,010000;0,663254;-0,365202;0,774504;-0,000202;0,619840;90;NIE;0,774504;0,001048;0,619874;45;NIE
276;0,010000;0,084721;-0,015573;-0,000279;-0,000573;0,000013;45;TAK;0,000971;-0,000006;0,000030;37;TAK
277;0,010000;0,979324;0,542807;0,774324;0,775307;1,239690;73;NIE;0,774949;0,775307;1,239687;49;NIE
278;0,010000;0,261022;0,085473;-0,000228;0,000473;0,000009;78;TAK;0,001022;-0,000152;0,000034;45;TAK
279;0,010000;0,426768;0,752429;0,774268;0,774929;1,239682;60;NIE;0,774268;0,774734;1,239681;45;NIE
280;0,010000;0,036419;0,246166;0,000169;-0,000084;0,000001;82;TAK;0,000012;0,001166;0,000043;45;TAK
281;0,010000;0,729859;-0,566256;0,774859;-0,775006;1,239678;72;NIE;0,774723;-0,773756;1,239703;45;NIE
282;0,010000;-0,804149;-0,230885;-0,774149;0,000365;0,619851;63;NIE;-0,774720;0,000365;0,619841;53;NIE
283;0,010000;0,130089;-0,112497;0,000089;0,000003;0,000000;61;TAK;-0,001161;0,000003;0,000043;41;TAK
284;0,010000;-0,139190;-0,104616;-0,000440;0,000384;0,000011;67;TAK;-0,000440;0,000072;0,000006;41;TAK
285;0,010000;-0,113214;-0,260815;0,000536;0,000435;0,000015;87;TAK;-0,000089;0,000435;0,000006;45;TAK
286;0,010000;0,320721;-0,589213;-0,000529;-0,774213;0,619854;91;NIE;0,000721;-0,774213;0,619862;37;NIE
287;0,010000;-0,754372;-0,766113;-0,774372;-0,774863;1,239679;45;NIE;-0,774372;-0,774863;1,239679;21;NIE
288;0,010000;0,118811;-0,147612;0,000061;-0,000112;0,000001;63;TAK;-0,001189;0,000200;0,000046;41;TAK
289;0,010000;0,658349;-0,489295;0,774599;-0,774295;1,239680;90;NIE;0,774599;-0,774295;1,239680;41;NIE
290;0,010000;0,422600;0,450343;0,775100;0,774093;1,239691;84;NIE;0,775100;0,774718;1,239679;49;NIE
291;0,010000;-0,122468;-0,826383;0,000032;-0,775133;0,619843;62;NIE;0,000032;-0,775133;0,619843;37;NIE
292;0,010000;-0,266242;0,077668;0,000008;0,000168;0,000001;70;TAK;0,000008;-0,000144;0,000001;41;TAK
293;0,010000;-0,545424;-0,638502;-0,774174;-0,774752;1,239684;74;NIE;-0,774174;-0,774733;1,239684;49;NIE
294;0,010000;0,321474;0,101167;0,000224;-0,000083;0,000002;84;TAK;-0,001026;-0,000083;0,000034;41;TAK
295;0,010000;-0,547653;-0,183234;-0,775153;0,000516;0,619852;79;NIE;-0,773903;0,000204;0,619859;45;NIE
296;0,010000;-0,990007;0,608174;-0,775007;0,774424;1,239680;75;NIE;-0,773757;0,774736;1,239703;45;NIE
297;0,010000;0,465934;-0,347625;0,774684;-0,000125;0,619838;76;NIE;0,774840;-0,000125;0,619838;45;NIE
298;0,010000;-0,636020;-0,618340;-0,774770;-0,774590;1,239675;74;NIE;-0,774770;-0,774903;1,239676;41;NIE
299;0,010000;0,360624;0,170764;0,000624;-0,000486;0,000020;88;TAK;0,000624;0,000061;0,000013;49;TAK
300;0,010000;-0,705841;0,069339;-0,774591;0,000589;0,619849;48;NIE;-0,774591;0,000589;0,619849;37;NIE
